SampleID,Country,Farm,Time,Treatment,Lat,Long,Elevation,pH,biomass,WHC,SOC,total_sand,total_silt,total_clay,soil_N,BD,soil_P,WC,VWC,respiration,reduction
ES_5_T1,ES,3,T1,C,37.72955496,-2.319309991,1014.76709,8.66,0,37.56,1.91,51.96753935,29.22136089,18.81109976,0.05,1.56,0.32,12.64,19.7184,0.51,0.34
ES_6_T1,ES,3,T1,D,37.72955496,-2.319309991,1014.76709,8.66,0,39.52,1.91,51.96753935,29.22136089,18.81109976,0.05,1.56,0.32,13.68,21.3408,0.05,0.35
ES_7_T1,ES,4,T1,C,37.72679999,-2.31696398,1017.348267,8.59,0,41.12,0.65,48.9014173,33.14900848,17.94957422,0.04,1.44,0.36,14.02,20.1888,0.21,0.34
ES_8_T1,ES,4,T1,D,37.72679999,-2.31696398,1017.348267,8.59,0,42.96,0.65,48.9014173,33.14900848,17.94957422,0.04,1.44,0.36,14.5,20.88,0.89,0.34
ES_9_T1,ES,5,T1,C,37.72690301,-2.308285022,1018.342224,8.65,0,44.85,1.14,41.81685947,35.75081252,22.43232801,0.03,1.28,0.39,15.68,20.0704,1.18,0.35
ES_10_T1,ES,5,T1,D,37.72690301,-2.308285022,1018.342224,8.65,0,44.54,1.14,41.81685947,35.75081252,22.43232801,0.03,1.28,0.39,13.73,17.5744,0.41,0.31
SE_1_T1,SE,1,T1,C,55.8763,13.2282,59.585,6.49,0,48.25,1.96,54.11270822,21.29396085,24.59333093,0.21,1.43,0.61,15.25,21.8075,1.42,0.32
SE_2_T1,SE,1,T1,D,55.8763,13.2282,59.585,6.49,0,51.17,1.96,54.11270822,21.29396085,24.59333093,0.21,1.43,0.61,14.64,20.9352,2.08,0.29
SE_3_T1,SE,2,T1,C,55.8564,13.4235,93.621,5.8,0,50.65,2.33,55.33847045,27.10659245,17.5549371,0.23,1.35,1.25,15.59,21.0465,3.15,0.31
SE_4_T1,SE,2,T1,D,55.8564,13.4235,93.621,5.8,0,47.95,2.33,55.33847045,27.10659245,17.5549371,0.23,1.35,1.25,13.92,18.792,1.04,0.29
SE_5_T1,SE,3,T1,C,55.6521,13.0825,0.113,7.87,0,70.44,2.52,47.22773885,41.32265814,11.44960301,0.25,1.35,0.88,20.45,27.6075,0.87,0.29
SE_6_T1,SE,3,T1,D,55.6521,13.0825,0.113,7.87,0,69.15,2.52,47.22773885,41.32265814,11.44960301,0.25,1.35,0.88,21.34,28.809,1.58,0.31
